CowTagID,SeepCode,Tide,Day_Night,Date,Salinity_In_Lab,SamplingTime,TempInLab,mV,Notes,TempInSitu,TA,TrisCalDate,No_Junk_Run,Salinity,Salinity_Calibration_Date
VSEEP,A,Mid,Night,3/21/22,36.1,05:00,26.084,-69.2,,,,3/20/22,,36.23,4/5/22
VSEEP,B,Low,Day,3/21/22,16.9,08:00,26.99,-25.2,,,,3/20/22,,16.84,4/5/22
V1,,Low,Day,3/21/22,36.6,08:00,28.07,-71.2,,29.28,,3/20/22,,36.59,4/7/22
V2,,Low,Day,3/21/22,36.6,08:00,28.06,-72.5,,29.17,,3/20/22,,36.57,4/7/22
V3,,Low,Day,3/21/22,36.6,08:00,28.06,-72.1,,29.38,,3/20/22,,36.49,4/7/22
V4,,Low,Day,3/21/22,36.6,08:00,28.3,-74.7,,27.77,,3/20/22,,36.59,4/7/22
V5,,Low,Day,3/21/22,36.6,08:00,28.32,-74.1,,29.57,,3/20/22,,36.68,4/7/22
V6,,Low,Day,3/21/22,36.5,08:00,28.04,-71.9,,29.58,,3/20/22,,36.42,4/7/22
V7,,Low,Day,3/21/22,36.4,08:00,28.08,-71.9,,29.37,,3/20/22,,36.26,4/7/22
V8,,Low,Day,3/21/22,36.6,08:00,27.6,-73.1,,,,3/20/22,,36.54,4/7/22
V9,,Low,Day,3/21/22,36.6,08:00,28.19,-73.1,,28.93,,3/20/22,,36.6,4/7/22
V10,,Low,Day,3/21/22,36.6,08:00,28.17,-74,,29.12,,3/20/22,,36.57,4/7/22
V11,,Low,Day,3/21/22,36.6,08:00,28.1,-73.8,,29.37,,3/20/22,,36.54,4/7/22
V12,,Low,Day,3/21/22,36.6,08:00,28.16,-74.4,,29.1,,3/20/22,,36.53,4/7/22
V13,,Low,Day,3/21/22,36.6,08:00,28.04,-73.1,,29.42,,3/20/22,,36.54,4/7/22
V14,,Low,Day,3/21/22,36.6,08:00,28.09,-71.9,,28,,3/20/22,,36.41,4/7/22
V15,,Low,Day,3/21/22,36.6,08:00,28.4,-73.2,,28.57,,3/20/22,,36.51,4/7/22
V16,,Low,Day,3/21/22,36.6,08:00,28.3,-75.3,,26.62,,3/20/22,,36.55,4/7/22
V17,,Low,Day,3/21/22,36.6,08:00,28.24,-72.1,,35.75,,3/20/22,,36.46,4/7/22
