CowTagID,PlateID,Top_Bottom,Placement,tile,group,total weight,boat weight,notes
C11,C11,Top,B,C11TB,GFIL,0.915,0.664,
C11,C11,Top,B,C11TB,CCA,0.781,0.7,
C13,C13,Top,B,C13TB,SAND,0.858,0.686,
C17,C17,Top,A,C17TA,CCA,0.729,0.683,
C17,C17,Top,A,C17TA,RFIL,0.852,0.671,
C17,C17,Top,A,C17TA,SAND,1.174,0.685,
C13,C13,Top,B,C13TB,GFIL,0.712,0.663,est
V5,V5,Top,A,V5TA,RFIL,0.862,0.543,
C7,C7,Top,B,C7TB,GFIL,0.941,0.673,
V20,V20,Top,A,V20TA,SAND,0.818,0.659,
C7,C7,Top,B,C7TB,CYO,0.845,0.741,
V19,V19,Top,B,V19TB,CYO,0.848,0.65,
V19,V19,Top,B,V19TB,GFIL,0.716,0.65,
V20,V20,Top,A,V20TA,CCA,0.803,0.621,
V10,V10,Top,A,V10TA,GFIL,1.187,0.628,
C20,C20,Top,A,C20TA,GFIL,0.902,0.669,
V17,V17,Top,A,V17TA,RFIL,0.704,0.683,
V14,V14,Top,A,V14TA,CCA,0.882,0.632,
V17,V17,Top,A,V17TA,GFIL,0.752,0.65,
V20,V20,Top,A,V20TA,GFIL,0.933,0.655,
C4,C4,Top,B,C4TB,CCA,0.808,0.63,
V5,V5,Top,A,V5TA,GFIL,1.22,0.705,
V14,V14,Top,A,V14TA,GFIL,0.737,0.676,
V7,V7,Top,A,V7TA,RFIL,1.256,0.633,
V19,V19,Top,B,V19TB,RFIL,0.906,0.647,
V15,V15,Top,B,V15TB,RFIL,0.739,0.696,
C20,C20,Top,A,C20TA,CYO,0.774,0.673,
C4,C4,Top,B,C4TB,CYO,0.718,0.694,
C15,C15,Top,B,C15TB,GFIL,0.882,0.663,
V15,V15,Top,B,V15TB,GFIL,1.305,0.733,
C6,C6,Top,B,C6TB,CYO,0.788,0.654,
V10,V10,Top,A,V10TA,SAND,1.154,0.645,
V15,V15,Top,B,V15TB,CCA,0.628,0.596,
V10,V10,Top,B,V10TB,CCA,0.714,0.664,
C8,C8,Top,A,C8TA,GFIL,1.192,0.672,
C15,C15,Top,B,C15TB,CYO,0.688,0.653,
C4,C4,Top,B,C4TB,GFIL,1.195,0.664,
V7,V7,Top,A,V7TA,CYO,0.736,0.707,
V2,V2,Top,B,V2TB,TOTAL_BIOMASS,0.922,0.716,finger swipe tile
V20,V20,Top,A,V20TA,CYO,0.877,0.677,
V6,V6,Top,B,V6TB,SAND,0.853,0.618,
V6,V6,Top,B,V6TB,GFIL,0.91,0.679,
V7,V7,Top,A,V7TA,GFIL,1.207,0.692,
V17,V17,Top,A,V17TA,CCA,0.776,0.674,
V12,V12,Top,A,V12TA,CYO,0.813,0.687,
V1,V1,Top,B,V1TB,GFIL,1.194,0.651,
V12,V12,Top,A,V12TA,GFIL,0.855,0.693,
V19,V19,Top,B,V19TB,SAND_MIX,0.912,0.644,
V18,V18,Top,B,V18TB,RFIL,0.913,0.694,
C1,C1,Top,B,C1TB,GFIL,0.773,0.596,
V18,V18,Top,B,V18TB,GFIL,0.74,0.675,est
V18,V18,Top,B,V18TB,SAND_MIX,0.742,0.629,
C20,C20,Top,A,C20TA,CCA,0.631,0.617,
