

Software Version	3.05.11



Experiment File Path:	C:\Users\gump\Desktop\Silbiger\Nyssa June 2023\Experiment1.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Chl_plankton.prt



Plate Number	Plate 1
Date	6/14/2023
Time	3:34:07 PM
Reader Type:	Synergy HTX
Reader Serial Number:	19041023
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Set Temperature	Setpoint 25°C, Gradient 0 °C
	Preheat before moving to next step
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  750, 664, 647, 630
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8



Actual Temperature:	25.1



Actual Temperature:	25.1



Actual Temperature:	25.1



Actual Temperature:	25.1

Results

Well	750	664	647	630
A1	0.031	0.030	0.031	0.031
A2	0.033	0.032	0.032	0.032
A3	0.030	0.030	0.030	0.030
A4	0.029	0.030	0.030	0.030
A5	0.032	0.033	0.033	0.033
A6	0.036	0.036	0.036	0.036
A7	0.032	0.032	0.032	0.032
A8	0.033	0.033	0.033	0.033
A9	0.030	0.031	0.031	0.031
A10	0.058	0.059	0.059	0.059
A11	0.030	0.030	0.030	0.030
A12	0.030	0.031	0.031	0.031
B1	0.030	0.029	0.030	0.030
B2	0.032	0.032	0.032	0.032
B3	0.029	0.029	0.029	0.029
B4	0.032	0.032	0.033	0.033
B5	0.029	0.030	0.030	0.030
B6	0.030	0.031	0.031	0.031
B7	0.030	0.030	0.030	0.030
B8	0.029	0.029	0.029	0.029
B9	0.030	0.031	0.031	0.031
B10	0.029	0.030	0.030	0.029
B11	0.032	0.033	0.033	0.033
B12	0.030	0.030	0.030	0.030
C1	0.105	0.108	0.109	0.110
C2	0.034	0.035	0.035	0.035
C3	0.029	0.029	0.029	0.030
C4	0.031	0.032	0.032	0.032
C5	0.029	0.029	0.029	0.029
C6	0.029	0.030	0.030	0.030
C7	0.029	0.030	0.030	0.030
C8	0.030	0.031	0.031	0.031
C9	0.033	0.033	0.033	0.033
C10	0.029	0.029	0.029	0.029
C11	0.029	0.030	0.030	0.030
C12	0.030	0.031	0.031	0.031
D1	0.030	0.030	0.030	0.030
D2	0.046	0.047	0.047	0.047
D3	0.027	0.028	0.028	0.028
D4	0.031	0.031	0.031	0.031
D5	0.029	0.029	0.029	0.029
D6	0.030	0.031	0.031	0.031
D7	0.032	0.032	0.032	0.033
D8	0.030	0.030	0.030	0.030
D9	0.032	0.032	0.032	0.032
D10	0.030	0.030	0.030	0.030
D11	0.030	0.030	0.030	0.030
D12	0.030	0.030	0.030	0.030
E1	0.030	0.031	0.030	0.031
E2	0.031	0.031	0.031	0.031
E3	0.035	0.036	0.036	0.036
E4	0.032	0.033	0.033	0.033
E5	0.030	0.030	0.030	0.030
E6	0.029	0.030	0.030	0.030
E7	0.045	0.046	0.045	0.046
E8	0.030	0.031	0.030	0.030
E9	0.033	0.034	0.033	0.034
E10	0.030	0.031	0.031	0.031
E11	0.030	0.030	0.030	0.030
E12	0.029	0.029	0.029	0.029
F1	0.030	0.031	0.031	0.031
F2	0.039	0.039	0.040	0.039
F3	0.030	0.031	0.031	0.031
F4	0.033	0.033	0.033	0.033
F5	0.029	0.030	0.030	0.030
F6	0.033	0.034	0.034	0.034
F7	0.029	0.029	0.030	0.030
F8	0.029	0.029	0.029	0.029
F9	0.032	0.032	0.032	0.032
F10	0.029	0.030	0.030	0.029
F11	0.029	0.029	0.029	0.029
F12	0.030	0.031	0.031	0.031
G1	0.029	0.029	0.029	0.029
G2	0.036	0.036	0.036	0.036
G3	0.029	0.030	0.030	0.029
G4	0.031	0.032	0.032	0.032
G5	0.031	0.032	0.032	0.032
G6	0.030	0.030	0.030	0.030
G7	0.032	0.032	0.032	0.032
G8	0.033	0.033	0.034	0.033
G9	0.028	0.028	0.029	0.029
G10	0.029	0.029	0.029	0.029
G11	0.029	0.029	0.029	0.029
G12	0.030	0.030	0.030	0.030
H1	0.031	0.032	0.032	0.032
H2	0.032	0.032	0.032	0.033
H3	0.031	0.031	0.031	0.032
H4	0.032	0.032	0.032	0.032
H5	0.032	0.032	0.032	0.032
H6	0.030	0.031	0.031	0.031
H7	0.038	0.039	0.040	0.040
H8	0.031	0.031	0.032	0.031
H9	0.030	0.031	0.031	0.031
H10	0.036	0.037	0.037	0.037
H11	0.030	0.030	0.030	0.030
H12	0.029	0.029	0.029	0.029

