Location,CowTagID,del15N,C_N,N_percent,LiveCoral,DeadCoral,Rubble,Sand,lat,lon,dist_to_seep_m,Dist_CT_cm,Depth_cm,Tidal_diff,adj_CT_depth_cm,Chain1_m,Chain2_m,Chain3_m,meanRugosity
Varari,V1,5,27.69463087,1.108259883,39.81042654,41.70616114,0,18.48341232,-17.53975298,-149.900506,138.8887466,76,44.2,-0.6,76.6,1.42,1.32,1.31,0.665024631
Varari,V2,4.8,30.28793774,1.036791996,21.21212121,63.13131313,3.03030303,12.62626263,-17.53989003,-149.900519,134.1793292,70,44.8,0.8,69.2,1.39,1.31,1.19,0.638752053
Varari,V3,4.3,29.70921986,1.116301164,13.67521368,70.51282051,1.709401709,14.1025641,-17.54012598,-149.90056,131.9140796,50,44,-2,52,1.3,0.98,1.46,0.614121511
Varari,V4,4,29.21212121,1.118264995,9.714285714,51.42857143,21.14285714,17.71428571,-17.54024902,-149.900454,119.3452203,61,43.7,2.3,58.7,1.52,1.28,1.29,0.671592775
Varari,V5,4.1,33.60384615,1.013368671,28.69198312,43.45991561,3.375527426,24.47257384,-17.54025003,-149.900336,106.8312081,70,41.4,-0.9,70.9,1.3,0.95,1.15,0.558292282
Varari,V6,5,28.41114983,1.161003236,21.19815668,45.16129032,6.912442396,26.7281106,-17.54002498,-149.900106,87.85163569,70,45.8,2.3,67.7,1.59,1.53,1.58,0.771756979
Varari,V7,4.7,28.9862543,1.119187724,4.910714286,43.30357143,2.232142857,49.55357143,-17.54004803,-149.899985,74.95438052,45,41.8,-0.9,45.9,1.37,1.45,1.61,0.727422003
Varari,V8,5.1,28.97014925,1.083353545,13.7254902,68.1372549,1.960784314,16.17647059,-17.54014903,-149.899896,62.34195113,39,40.2,1.1,37.9,1.36,1.24,0.98,0.587848933
Varari,V9,3.9,31.95864662,1.017597552,50.27027027,7.567567568,4.324324324,37.83783784,-17.540245,-149.899765,46.50132203,80,40,3,77,1.24,1.39,1.79,0.725779967
Varari,V10,4,28.62587413,1.155275489,16.75977654,77.09497207,2.793296089,3.351955307,-17.54030501,-149.899788,48.50883373,32,39.1,-0.9,32.9,1.28,1.4,0.55,0.530377668
Varari,V11,4.3,31.08724832,1.111857324,15.23809524,60.47619048,12.85714286,11.42857143,-17.54019303,-149.900068,79.16286546,53,44,2.2,50.8,1.16,0.97,1.1,0.530377668
Varari,V12,4.4,31.03816794,1.008041245,23.14814815,39.81481481,15.27777778,21.75925926,-17.54030996,-149.900112,82.90297375,59,43.5,-0.5,59.5,1.56,0.95,1.35,0.633825944
Varari,V13,3.9,34.636,0.97855018,2.304147465,50.23041475,2.764976959,44.70046083,-17.540749,-149.899133,-54.016009,79,50.4,6.2,72.8,NA,NA,NA,NA
Varari,V14,4.7,25.52012384,1.213920625,0,4.739336493,0,95.26066351,-17.54039696,-149.899396,12.62318456,62,40.1,0.2,61.8,2.03,1.14,1.8,0.816091954
Varari,V15,4.7,28.4924812,1.120094324,25.68807339,65.59633028,6.422018349,2.293577982,-17.54014299,-149.900183,92.15051842,40,42.3,-3.5,43.5,0.89,1.04,1.4,0.54679803
Varari,V16,3.6,35.77253219,0.930734201,10.59907834,18.43317972,9.677419355,61.29032258,-17.54029797,-149.900492,123.2336688,78,46,2.3,75.7,1.79,1.43,2.03,0.862068966
Varari,V17,4.4,29.85409253,1.074693081,0,17.72727273,0,82.27272727,-17.54031901,-149.899572,25.65062044,70,40.9,0.8,69.2,2,1.47,1.75,0.857142857
Varari,V18,4.6,30.3878327,1.052378856,10.05025126,74.87437186,7.035175879,8.040201005,-17.54019697,-149.899906,62.14245647,34,42.7,2.5,31.5,1.27,1.19,1.27,0.612479475
Varari,V19,3.9,30.94736842,1.02908091,18.13953488,33.48837209,8.372093023,40,-17.54050802,-149.89978,52.88953478,79,37,-3.9,82.9,1.58,1.6,1.48,0.765188834
Varari,V20,4,30.21292776,1.099130726,5.527638191,16.58291457,0,77.88944724,-17.54045103,-149.899509,25.1434552,65,39.9,0,65,1.79,1.26,1.89,0.811165846
Varari,VSEEP,7.2,22.51840491,1.238272496,0,2.5,0,97.5,-17.540302,-149.899331,0,39.9,39.9,0,39.9,NA,NA,NA,NA
Cabral,C1,NA,NA,NA,26.63551402,70.56074766,0.46728972,2.336448598,-17.517048,-149.912693,76.29322558,75,48.9,-3.9,78.9,1.49,1.54,1.23,0.699507389
Cabral,C10,NA,NA,NA,0.909090909,6.363636364,0.454545455,92.27272727,-17.51588602,-149.912912,69.63619017,107,51.4,2.3,104.7,1.9,1.56,2.01,0.89819376
Cabral,C11,NA,NA,NA,8.837209302,74.88372093,11.1627907,5.11627907,-17.51598098,-149.913194,84.90271523,103,46.1,1.1,101.9,1.34,1.25,0.95,0.581280788
Cabral,C12,NA,NA,NA,13.51351351,74.77477477,11.26126126,0.45045045,-17.51595701,-149.913303,96.2135122,90,53.9,7.8,82.2,1.31,1.52,1.41,0.696223317
Cabral,C13,NA,NA,NA,17.35159817,72.60273973,6.849315068,3.196347032,-17.51557102,-149.913136,111.9657493,65,49.1,-4.8,69.8,1.47,1.37,1.08,0.643678161
Cabral,C15,NA,NA,NA,46.57534247,43.83561644,9.132420091,0.456621005,-17.51721597,-149.913056,108.9760651,105,47.6,-5.9,110.9,1.39,1.38,1.09,0.633825944
Cabral,C16,NA,NA,NA,10.0286533,22.06303725,38.39541547,29.51289398,-17.51723299,-149.912976,106.4282013,90,44,-7.4,97.4,1.44,1.81,1.64,0.802955665
Cabral,C17,NA,NA,NA,29.75609756,26.82926829,4.390243902,39.02439024,-17.51721203,-149.912771,96.09861801,112,49.3,0,112,1.44,1.2,1.27,0.642036125
Cabral,C18,NA,NA,NA,43.24324324,51.8018018,4.954954955,0,-17.51757103,-149.912982,141.1332573,100,53.5,-3.7,103.7,1.13,1.11,0.7,0.482758621
Cabral,C19,NA,NA,NA,30.1369863,36.98630137,30.59360731,2.283105023,-17.51770397,-149.912893,152.3190849,87,57.2,7.9,79.1,1.46,0.88,0.82,0.518883415
Cabral,C2,NA,NA,NA,7.207207207,77.02702703,4.504504505,11.26126126,-17.51706904,-149.912949,89.09540482,82,52.8,-5.2,87.2,1.02,1.05,1.17,0.532019704
Cabral,C20,NA,NA,NA,8.675799087,12.32876712,0.913242009,78.08219178,-17.51692303,-149.912724,63.9750359,67,55.6,6.7,60.3,1.12,1.62,1.98,0.775041051
Cabral,C3,NA,NA,NA,19.09090909,60.45454545,19.54545455,0.909090909,-17.51697499,-149.913111,91.27558811,110,58,10.4,99.6,1.41,1.29,1.53,0.694581281
Cabral,C4,NA,NA,NA,14.47963801,46.60633484,0,38.91402715,-17.51679302,-149.912772,53.0800205,86,51,-4.6,90.6,1.67,1.61,0.91,0.688013136
Cabral,C5,NA,NA,NA,14.95327103,28.5046729,15.42056075,41.12149533,-17.51659596,-149.912877,45.09468353,86,48,-3,89,1.85,1.28,1.39,0.742200328
