Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Air Temperature [Celsius],Relative Humidity [%],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius]
25,1/11/2021 10:20,21,1,11,10,20,2,5.6,29,9,198,0.7054673,3.406297,255,4,1,0,Sniff,1.6,7.6,0.2,1.1,28.9
26,1/11/2021 10:26,21,1,11,10,26,4,5.5,29.6,8,198,2.847178,4.60683,255,4,2,0,Sniff,10,10,0.9,1.5,28.5
27,1/11/2021 10:32,21,1,11,10,32,6,5.5,29.9,7,198,4.270767,5.190051,255,4,3,0,Sniff,10,12,1.6,2,28.5
28,1/11/2021 10:38,21,1,11,10,38,6,5.5,30.2,7,198,2.847178,4.60683,255,4,4,0.499,Sniff,10,10,1.1,1.8,28.5
29,1/11/2021 10:44,21,1,11,10,44,3,5.5,30.5,7,198,1.423589,3.889317,255,4,5,0.499,Sniff,3.2,8.8,0.5,1.5,28.6
30,1/11/2021 10:50,21,1,11,10,50,5,5.5,30.8,7,198,2.847178,4.60683,255,4,6,0,Sniff,10,10,1.1,1.8,28.9
31,1/11/2021 10:56,21,1,11,10,56,9,5.5,31.1,7,198,3.558972,4.910656,255,4,7,0.8,Sniff,8,11,1.4,1.9,28.6
32,1/11/2021 11:02,21,1,11,11,2,12,5.5,31.1,6,198,7.117945,6.1451,255,4,8,0.2,Sniff,16,14,2.7,2.3,28.9
33,1/11/2021 11:08,21,1,11,11,8,16,5.5,31.4,6,198,6.40615,5.925373,255,4,9,0.444,Sniff,14,13,2.5,2.3,29
34,1/11/2021 11:14,21,1,11,11,14,26,5.5,31.7,6,198,10.01001,6.968372,255,4,10,0.714,Sniff,22,16,3.8,2.6,28.7
35,1/11/2021 11:20,21,1,11,11,20,13,5.5,32,6,198,6.40615,5.925373,255,4,11,0.445,Sniff,14,13,2.4,2.2,28.8
36,1/11/2021 11:26,21,1,11,11,26,12,5.5,32,6,198,6.40615,5.925373,255,4,12,0.333,Sniff,14,13,2.4,2.3,28.8
37,1/11/2021 11:32,21,1,11,11,32,17,5.5,32,6,198,9.253328,6.750172,255,4,13,0.231,Sniff,21,15,3.5,2.6,28.7
38,1/11/2021 11:38,21,1,11,11,38,8,5.5,32,6,198,2.847178,4.60683,255,4,14,1,Sniff,10,10,1.1,1.8,28.8
39,1/11/2021 11:44,21,1,11,11,44,10,5.5,32,6,198,3.558972,4.910656,255,4,15,0.8,Sniff,8,11,1.4,1.9,28.7
40,1/11/2021 11:50,21,1,11,11,50,5,5.5,31.7,6,198,0.7117945,3.436847,255,4,16,4,Sniff,1.6,7.7,0.3,1.3,28.8
41,1/11/2021 11:56,21,1,11,11,56,6,5.5,31.7,6,198,0,2.847178,255,4,17,N/A,Sniff,0,6.4,0,1.1,28.9
42,1/11/2021 12:02,21,1,11,12,2,13,5.5,31.7,6,198,0,2.847178,255,4,18,N/A,Sniff,0,6.4,0,1.1,28.9
43,1/11/2021 12:08,21,1,11,12,8,6,5.5,31.7,6,198,0,2.847178,255,4,19,N/A,Sniff,0,6.4,0,1.1,28.9
44,1/11/2021 12:14,21,1,11,12,14,9,5.5,31.7,6,198,0,2.847178,255,4,20,N/A,Sniff,0,6.4,0,1.1,29
45,1/11/2021 12:20,21,1,11,12,20,6,5.5,31.4,5,198,0,2.847178,255,4,21,N/A,Sniff,0,6.4,0,1.1,29
46,1/11/2021 12:26,21,1,11,12,26,7,5.5,31.4,6,198,0,2.847178,255,4,22,N/A,Sniff,0,6.4,0,1.1,29
47,1/11/2021 12:32,21,1,11,12,32,8,5.5,31.4,6,198,1.423589,3.889317,255,4,23,3,Sniff,3.2,8.8,0.5,1.5,29
48,1/11/2021 12:38,21,1,11,12,38,12,5.5,31.4,6,198,2.847178,4.60683,255,4,24,2,Sniff,10,10,1.1,1.7,29
49,1/11/2021 12:44,21,1,11,12,44,4,5.5,31.7,5,198,0,2.847178,255,4,25,N/A,Sniff,0,6.4,0,1.1,29
50,1/11/2021 12:50,21,1,11,12,50,4,5.5,32,6,198,0,2.847178,255,4,26,N/A,Sniff,0,6.4,0,1.1,29
51,1/11/2021 12:56,21,1,11,12,56,6,5.5,32.6,5,198,1.423589,3.889317,255,4,27,1,Sniff,3.2,8.8,0.5,1.5,29
52,1/11/2021 13:02,21,1,11,13,2,5,5.5,32.9,5,198,0,2.847178,255,4,28,N/A,Sniff,0,6.4,0,1.1,29
53,1/11/2021 13:08,21,1,11,13,8,2,5.5,33.5,5,198,0,2.847178,255,4,29,N/A,Sniff,0,6.4,0,1.1,29
54,1/11/2021 13:14,21,1,11,13,14,3,5.5,33.8,5,198,1.423589,3.889317,255,4,30,0.499,Sniff,3.2,8.8,0.5,1.5,29
55,1/11/2021 13:20,21,1,11,13,20,4,5.5,34.2,5,70,1.023035,2.046071,255,4,31,2,Normal,2.3,4.6,0.39,0.77,29
56,1/11/2021 13:26,21,1,11,13,26,4,5.5,34.5,5,70,1.023035,2.046071,255,4,32,N/A,Normal,2.3,4.6,0.39,0.77,29
57,1/11/2021 13:32,21,1,11,13,32,6,5.5,34.5,5,70,1.705059,2.352633,255,4,33,N/A,Normal,3.8,5.3,0.65,0.89,29.4
58,1/11/2021 13:38,21,1,11,13,38,2,5.5,34.2,6,70,0.6820237,1.863323,255,4,34,1,Normal,1.5,4.2,0.26,0.71,29.5
59,1/11/2021 13:44,21,1,11,13,44,2,5.5,34.2,5,70,0.3410118,1.646551,255,4,35,N/A,Normal,0.8,3.7,0.13,0.62,29.7
60,1/11/2021 13:50,21,1,11,13,50,6,5.5,33.8,5,70,1.705059,2.352633,255,4,36,0.25,Normal,3.8,5.3,0.64,0.88,30.2
61,1/11/2021 13:56,21,1,11,13,56,4,5.5,33.8,5,70,1.023035,2.046071,255,4,37,0.5,Normal,2.3,4.6,0.38,0.76,29.7
62,1/11/2021 14:02,21,1,11,14,2,13,5.5,33.8,5,70,4.433154,3.233922,255,4,38,0.3,Normal,10,7.3,1.6,1.2,29.5
63,1/11/2021 14:08,21,1,11,14,8,8,5.5,33.5,6,70,2.387083,2.611077,255,4,39,0.4,Normal,4.9,5.9,0.82,0.97,29.5
64,1/11/2021 14:14,21,1,11,14,14,9,5.5,33.8,5,70,2.728095,2.728095,255,4,40,1,Normal,6.1,6.1,1,1,29.5
65,1/11/2021 14:16,21,1,11,14,16,3,1.8,33.8,6,70,3.041825,6.083651,255,4,41,0.499,Normal,7,14,1.2,2.3,29.5
