CowTagID,SeepCode,Tide,Day_Night,Date,Salinity_In_Lab,SamplingTime,TempInLab,mV,Salinity,TempInSitu,TA,TrisCalDate,No_Junk_Run,Notes,Salinity_Calibration_Date
VSEEP,A,Low,Night,8/4/21,33.84,18:45:00,24.48,-75.5,34.32,26.97,2526.410657,8/3/21,0,NA,10/1/21
VSEEP,B,High,Night,8/4/21,35.86,23:51:00,24.53,-76.8,36.5,26.47,2381.156393,8/3/21,0,NA,10/1/21
V15,NA,High,Night,8/5/21,36.44,00:00:00,25.273,-73.6,36.89,26.87,2313.624865,8/3/21,0,NA,10/1/21
V6,NA,High,Night,8/5/21,36.38,00:00:00,25.263,-76.7,36.92,27.24,2331.278996,8/3/21,0,NA,10/1/21
V12,NA,High,Night,8/5/21,36.38,00:00:00,24.79,-77,36.9,27.02,2347.556318,8/3/21,0,NA,10/1/21
V17,NA,High,Night,8/5/21,36.02,00:00:00,24.93,-77.3,36.79,26.98,2314.889032,8/3/21,0,NA,10/1/21
V16,NA,High,Night,8/5/21,36.49,00:00:00,25.03,-76.7,36.88,26.91,2321.911981,8/3/21,0,NA,10/1/21
V4,NA,High,Night,8/5/21,36.49,00:00:00,24.88,-77,36.81,27.1,2331.89014,8/3/21,0,NA,10/1/21
V2,NA,High,Night,8/5/21,36.4,00:00:00,24.79,-76.3,36.82,27.15,2328.302637,8/3/21,0,NA,10/1/21
V14,NA,High,Night,8/5/21,36.29,00:00:00,24.91,-77.8,36.84,26.97,2307.005078,8/3/21,0,NA,10/1/21
V1,NA,High,Night,8/5/21,36.41,00:00:00,24.62,-76.8,36.84,27.1,2332.964767,8/3/21,0,NA,10/1/21
V19,NA,High,Night,8/5/21,36.27,00:00:00,24.85,-77.5,36.85,26.74,2326.363311,8/3/21,0,NA,10/1/21
V9,NA,High,Night,8/5/21,36.45,00:00:00,24.64,-77.8,36.83,27.16,2318.333575,8/3/21,0,NA,10/1/21
V8,NA,High,Night,8/5/21,36.43,00:00:00,24.94,-77.9,36.78,27.03,2321.38849,8/3/21,0,NA,10/1/21
V5,NA,High,Night,8/5/21,36.46,00:00:00,24.45,-77.2,36.84,26.97,2321.38849,8/3/21,0,NA,10/1/21
V10,NA,High,Night,8/5/21,36.36,00:00:00,24.68,-77.4,36.92,26.94,2303.174091,8/3/21,0,NA,10/1/21
V13,NA,High,Night,8/5/21,36.52,00:00:00,24.55,-77.9,36.84,27.01,2381.363434,8/3/21,0,NA,10/1/21
V11,NA,High,Night,8/5/21,36.45,00:00:00,24.56,-77.3,36.87,26.97,2369.654389,8/3/21,0,NA,10/1/21
V18,NA,High,Night,8/5/21,36.47,00:00:00,24.43,-77.5,36.91,2,2320.524277,8/3/21,0,NA,10/1/21
V20,NA,High,Night,8/5/21,36.39,00:00:00,24.62,-77.7,36.83,27.01,2322.825798,8/3/21,0,NA,10/1/21
VSEEP,C,Mid,Night,8/5/21,36.05,02:51:00,24.51,-73.7,36.36,26.35,2355.901122,8/3/21,0,NA,10/1/21
VSEEP,D,Low,Day,8/5/21,33.65,06:45:00,24.35,-67.5,33.75,26.1,2570.64039,8/3/21,0,NA,10/1/21
V3,NA,High,Day,8/5/21,36.41,11:57:00,27.442,-77.7,36.87,27.76,2351.907643,8/3/21,0,bottle collected at 13:20,10/1/21
V7,NA,High,Day,8/5/21,36.42,11:57:00,28.136,-77.5,36.98,27.76,2344.001217,8/3/21,0,bottle collected at 11:57,10/1/21
V9,NA,High,Day,8/5/21,36.4,11:57:00,27.721,-77.4,37.14,27.83,2348.711385,8/3/21,0,bottle collected at 11:57,10/1/21
V2,NA,High,Day,8/5/21,36.4,11:57:00,26.1,-78.3,36.98,27.92,2353.477084,8/3/21,0,NA,10/1/21
V14,NA,High,Day,8/5/21,36.38,11:57:00,26.67,-76.8,36.97,27.64,2335.097209,8/3/21,0,NA,10/1/21
V12,NA,High,Day,8/5/21,36.44,11:57:00,26.55,-78.1,37,27.75,2359.450571,8/3/21,0,NA,10/1/21
VSEEP,E,Mid,Day,8/5/21,34.93,08:51:00,25.61,-71.4,35.64,26.08,2458.693077,8/3/21,0,NA,10/1/21
V5,NA,High,Day,8/5/21,36.5,11:57:00,25.83,-78.5,37.08,27.69,2351.4013,8/3/21,0,NA,10/1/21
V17,NA,High,Day,8/5/21,36.28,11:57:00,26.33,-77.5,36.92,27.61,2361.397676,8/3/21,1,NA,10/1/21
V20,NA,High,Day,8/5/21,36.29,11:57:00,26.54,-78.8,36.96,27.69,2345.449179,8/3/21,0,NA,10/1/21
V15,NA,High,Day,8/5/21,36.43,11:57:00,26.65,-78.6,36.99,27.59,2315.246435,8/3/21,0,NA,10/1/21
V16,NA,High,Day,8/5/21,36.43,11:57:00,26.045,-78.2,37.18,27.64,2363.988112,8/3/21,0,NA,10/1/21
V13,NA,High,Day,8/5/21,36.43,11:57:00,26.21,-78.5,37,27.66,2353.16399,8/3/21,0,NA,10/1/21
V4,NA,High,Day,8/5/21,36.46,11:57:00,26.05,-78,36.92,27.82,2320.14392,8/3/21,0,NA,10/1/21
V19,NA,High,Day,8/5/21,36.43,11:57:00,26.74,-77.9,36.82,27.55,2359.378322,8/3/21,0,NA,10/1/21
V1,NA,High,Day,8/5/21,36.45,11:57:00,25.88,-78.9,36.81,28.02,2309.516077,8/3/21,0,NA,10/1/21
V10,NA,High,Day,8/5/21,36.46,11:57:00,25.96,-77.9,36.82,27.61,2344.595953,8/3/21,0,NA,10/1/21
V18,NA,High,Day,8/5/21,36.46,11:57:00,25.72,-78.1,36.89,27.66,2382.01882,8/3/21,1,NA,10/1/21
V11,NA,High,Day,8/5/21,36.43,11:57:00,25.17,-78.6,36.86,27.68,2308.380986,8/3/21,0,NA,10/1/21
V6,NA,High,Day,8/5/21,36.49,11:57:00,25.78,-79,36.89,27.91,2322.780484,8/3/21,0,NA,10/1/21
V8,NA,High,Day,8/5/21,36.45,11:57:00,26,-78.5,37.05,27.7,2330.074396,8/3/21,0,NA,10/1/21
VSEEP,F,High,Day,8/5/21,36.17,11:57:00,24.83,-77.2,36.51,27.84,2361.47628,8/3/21,0,NA,10/1/21
Varari_Well,,NA,Day,8/5/21,9.735,NA,21.482,-65.6,NA,25.95,5377.549655,8/10/21,0,"Refridgerated, CRM 1.06% (bottle 2)",10/1/21
Varari_Well,,NA,Day,8/5/21,9.671,NA,21.173,-61.7,NA,25.95,5377.936753,8/10/21,0,"Refridgerated, CRM 1.06% (bottle (3)",10/1/21
V3,NA,High,Night,8/6/21,36.28,00:30:00,23.71,-73.6,36.52,27.19,2352.580407,8/3/21,0,Bottle Samples collected next night,10/1/21
V7,NA,High,Night,8/6/21,36.28,00:30:00,23.52,-76.3,36.8,27.22,2365.074818,8/3/21,0,Bottle Samples collected next night,10/1/21
V6,NA,Low,Day,8/6/21,36.36,06:40:00,25.34,-73.5,37.28,27.15,2373.785598,8/3/21,0,Huge Waves/ bottle collected,10/1/21
V3,NA,Low,Day,8/6/21,36.52,06:40:00,25.43,-75.5,37.04,27.14,2366.912906,8/3/21,0,Huge Waves/ bottle collected,10/1/21
V7,NA,Low,Day,8/6/21,36.43,06:40:00,25.78,-74.3,36.99,26.89,2365.774319,8/3/21,1,Huge Waves,10/19/21
V9,NA,Low,Day,8/6/21,36.55,06:40:00,25.83,-75.1,37.2,27.15,2386.919044,8/3/21,0,Huge Waves/ bottle collected,10/1/21
VSEEP,G,Mid,Day,8/6/21,36.01,08:30:00,25.97,-74.2,36.82,26.56,2402.134778,8/3/21,0,Huge Waves/ bottle collected,10/1/21
V2,NA,Low,Day,8/6/21,36.52,06:40:00,25.05,-74.9,37.15,27.2,2387.584167,8/3/21,1,Huge Waves,10/1/21
V16,NA,Low,Day,8/6/21,36.48,06:40:00,25.33,-75.3,36.97,27.09,2356.432356,8/3/21,0,Huge Waves,10/19/21
V14,NA,Low,Day,8/6/21,36.36,06:40:00,25.03,-73.4,36.98,26.86,2389.816955,8/3/21,0,Huge Waves,10/19/21
V15,NA,Low,Day,8/6/21,36.45,06:40:00,25.08,-74.5,36.96,26.94,2349.333824,8/3/21,0,Huge Waves,10/1/21
V4,NA,Low,Day,8/6/21,36.46,06:40:00,25.13,-75.9,36.91,27.27,2359.559769,8/3/21,0,Huge Waves,10/19/21
V10,NA,Low,Day,8/6/21,36.5,06:40:00,24.97,-74.9,36.97,27.01,2361.302189,8/3/21,0,Huge Waves,10/1/21
V12,NA,Low,Day,8/6/21,36.35,06:40:00,24.76,-75.9,36.81,27.15,2371.094773,8/3/21,0,Huge Waves,10/19/21
V20,NA,Low,Day,8/6/21,36.49,06:40:00,24.76,-74.7,36.78,26.97,2415.148268,8/3/21,1,Huge Waves,10/19/21
V19,NA,Low,Day,8/6/21,36.44,06:40:00,24.84,-76.2,36.84,26.91,2348.306475,8/3/21,0,Huge Waves,10/1/21
V1,NA,Low,Day,8/6/21,36.41,06:40:00,24.62,-74.4,36.85,27.1,2408.599301,8/3/21,1,Huge Waves,10/1/21
V18,NA,Low,Day,8/6/21,36.39,06:40:00,24.54,-74.7,36.91,27.03,2357.708236,8/3/21,0,Huge Waves,10/19/21
V13,NA,Low,Day,8/6/21,36.4,06:40:00,25.04,-74.4,36.96,27.02,2356.104421,8/3/21,0,Huge Waves,10/1/21
V11,NA,Low,Day,8/6/21,36.48,06:40:00,25.14,-75.1,36.89,27.07,2370.288749,8/3/21,0,Huge Waves,10/19/21
V5,NA,Low,Day,8/6/21,36.43,06:40:00,25.09,-75.2,36.81,27.11,2360.157091,8/3/21,0,Huge Waves,10/1/21
V8,NA,Low,Day,8/6/21,36.45,06:40:00,24.91,-74.5,36.87,27.02,2325.878993,8/3/21,0,Huge Waves,10/19/21
V17,NA,Low,Day,8/6/21,36.34,06:40:00,24.38,-73.5,36.79,26.88,2385.194946,8/3/21,0,Huge Waves,10/19/21
VSEEP,H,Low,Night,8/6/21,36.07,19:00:00,26.39,-67.8,37.45,27.62,2388.442656,8/3/21,0,Huge Waves/ bottle collected,10/1/21
V8,NA,Low,Day,8/8/21,36.56,07:30:00,26.08,-72.7,36.8,27.2,2363.226902,8/3/21,0,Bottle,10/1/21
V12,NA,Low,Day,8/8/21,36.28,07:30:00,25.88,-76.3,36.94,27.31,2364.360097,8/3/21,0,Bottle,10/1/21
V5,NA,Low,Day,8/8/21,36.39,07:30:00,26.08,-76.6,36.88,27.25,2366.352432,8/3/21,0,Bottle,10/1/21
V19,NA,Low,Day,8/8/21,36.63,07:30:00,25.91,-77.2,36.91,27.03,2369.352141,8/3/21,0,Bottle,10/1/21
V15,NA,Low,Day,8/8/21,36.45,07:30:00,26.01,-76.4,36.94,27.11,2376.479103,8/3/21,0,Bottle,10/1/21
V6,NA,Low,Day,8/8/21,36.51,07:30:00,26.02,-76,36.87,27.31,2365.266839,8/3/21,0,Bottle,10/1/21
V17,NA,Low,Day,8/8/21,36.46,07:30:00,26.045,-75.6,36.86,27.05,2349.779191,8/3/21,0,Bottle,10/1/21
V20,NA,Low,Day,8/8/21,36.53,07:30:00,25.89,-76,36.88,27.16,2363.766285,8/3/21,0,Bottle,10/1/21
V13,NA,Low,Day,8/8/21,36.57,07:30:00,25.99,-76.2,36.9,27.22,2368.647558,8/3/21,0,Bottle,10/1/21
V16,NA,Low,Day,8/8/21,36.59,07:30:00,25.86,-77.6,36.87,27.21,2362.729916,8/3/21,0,Bottle,10/1/21
V10,NA,Low,Day,8/8/21,36.28,07:30:00,26.04,-77,36.91,27.2,2363.270608,8/3/21,0,Bottle,10/1/21
V9,NA,Low,Day,8/8/21,36.38,07:30:00,26.18,-76.9,36.83,27.34,2372.370084,8/3/21,0,Bottle,10/1/21
V14,NA,Low,Day,8/8/21,36.35,07:30:00,25.79,-76.1,36.71,27.05,2382.973932,8/3/21,0,Bottle,10/1/21
V18,NA,Low,Day,8/8/21,36.57,07:30:00,25.77,-76.4,36.86,27.23,2365.935001,8/3/21,0,Bottle,10/1/21
V11,NA,Low,Day,8/8/21,36.53,07:30:00,25.62,-76.7,36.89,27.24,2360.976262,8/3/21,0,Bottle,10/1/21
V4,NA,Low,Day,8/8/21,36.53,07:30:00,25.89,-77.6,37.04,27.39,2362.8142,8/3/21,0,Bottle,10/1/21
V2,NA,Low,Day,8/8/21,36.34,07:30:00,25.56,-75.9,36.85,27.36,2365.03174,8/3/21,0,Bottle,10/1/21
V7,NA,Low,Day,8/8/21,36.48,07:30:00,25.7,-75.8,36.76,27.08,2371.959181,8/3/21,0,Bottle,10/1/21
V3,NA,Low,Day,8/8/21,36.52,07:30:00,25.81,-76.6,36.9,27.27,2380.835159,8/3/21,0,Bottle,10/1/21
V1,NA,Low,Day,8/8/21,36.52,07:30:00,25.76,-75.7,36.86,27.26,2377.029989,8/3/21,0,Bottle,10/1/21
VSEEP,I,Low,Day,8/8/21,34.06,07:30:00,25.56,-68.3,34.55,26.55,2570.178384,8/3/21,0,Bottle,10/1/21
V12,NA,Low,Night,8/8/21,36.28,18:30:00,26.04,-79.3,36.41,28.35,2343.323603,8/3/21,0,Bottle,10/1/21
V10,NA,Low,Night,8/8/21,36.33,18:30:00,26.14,-80,36.92,28.21,2320.743508,8/3/21,0,Bottle,10/1/21
V11,NA,Low,Night,8/8/21,36.12,18:30:00,26.3,-78.8,36.56,28.25,2348.0235,8/3/21,0,Bottle,10/1/21
V6,NA,Low,Night,8/8/21,36.31,18:30:00,26.43,-79.4,36.68,28.52,2337.707262,8/3/21,0,Bottle,10/1/21
V8,NA,Low,Night,8/8/21,36.04,18:30:00,26.23,-79,36.41,28.31,2351.074413,8/3/21,0,Bottle,10/1/21
V9,NA,Low,Night,8/8/21,36.47,18:30:00,26.38,-79.9,36.82,28.44,2357.074012,8/3/21,0,Bottle,10/1/21
V7,NA,Low,Night,8/8/21,36.26,18:30:00,26.4,-80.3,36.83,28.34,2337.447513,8/3/21,0,Bottle,10/1/21
V4,NA,Low,Night,8/8/21,36.4,18:30:00,25.91,-80.1,36.83,28.4,2325.926623,8/3/21,0,Bottle,10/1/21
V5,NA,Low,Night,8/8/21,36.23,18:30:00,26.06,-79.4,36.61,28.28,2360.225293,8/3/21,0,Bottle,10/1/21
V17,NA,Low,Night,8/8/21,37.05,18:30:00,25.91,-80.2,36.56,28.31,2355.897908,8/3/21,0,Bottle,10/1/21
V18,NA,Low,Night,8/8/21,36.13,18:30:00,26.23,-79.6,36.49,28.3,2358.4544,8/3/21,0,Bottle,10/1/21
V2,NA,Low,Night,8/8/21,36.09,18:30:00,25.85,-79.3,36.56,28.47,2346.594909,8/3/21,0,Bottle,10/1/21
V15,NA,Low,Night,8/8/21,36.15,18:30:00,26.03,-79.4,36.62,28.17,2340.611163,8/3/21,0,Bottle,10/1/21
V13,NA,Low,Night,8/8/21,36.52,18:30:00,25.95,-80,36.73,28.36,2332.892346,8/3/21,0,Bottle,10/1/21
V1,NA,Low,Night,8/8/21,36.22,18:30:00,26.155,-79.8,36.56,28.44,2339.396163,8/3/21,0,Bottle,10/1/21
V14,NA,Low,Night,8/8/21,36.28,18:30:00,25.91,-81.4,36.71,28.32,2316.281087,8/3/21,0,Bottle,10/1/21
V3,NA,Low,Night,8/8/21,36.35,18:30:00,25.72,-80,36.63,28.31,2345.266347,8/3/21,0,Bottle,10/1/21
